;topik;berita
0;Militer;Dapat Izin Kongres, Angkatan Udara AS Akan Pensiunkan 260 Pesawat Pada Tahun 2023
1;Berita dan Politik;ART Disiksa Majikan di Jaksel: Dirantai ke Kandang Anjing dan Ditelanjangi
2;Berita dan Politik;Kaget, Legislator PD Minta Letkol Tituler Deddy Corbuzier Tidur di Barak
3;Berita dan Politik;Anies : Banjir Jakarta diselesaikan dengan cara Saintifik, bukan Politik
4;Berita dan Politik;Modus Tebak-tebakan Rasa Permen, Marbot Masjid Nekat Lecehkan Anak Perempuan
5;Sejarah & Xenology;Lagu Terbaik Nazi Jerman : Horst Wessel Lied
6;Berita dan Politik;GerTak Dukung Qanun LKS di Aceh Harus Direvisi
7;Berita dan Politik;Safari Politik, Anies singgung kesejahteraan Papua tidak merata
8;Berita dan Politik;Sambo Kesal Dicecar Uang Belanja Ratusan Juta Rupiah..
9;Berita dan Politik;Putri Candrawathi Akui Dipaksa Buat Laporan Pelecehan karena Takut Sambo
10;Berita dan Politik;Diduga Cabuli Santriwati, Pengurus Ponpes di Serang Ditangkap
11;Berita dan Politik;Tolak Dianggap Telantarkan Siswa SDN Pondok Cina 1, Pemkot Depok: Sekolah Pengganti
12;Berita dan Politik;Sudah Diundang Tapi Tak Datang, Rizal Ramli Malah Nyindir Pedas Nikahan Kaesang
13;Berita dan Politik;Mengerikan! Fatwa UAS Soal Bom Bunuh Dijadikan Motivasi Oleh Kelompok Teroris JAD
14;Berita dan Politik;Hotman Paris Soal KUHP Baru: Pelacur dan Gigolo Bisa Dipidana?
15;Berita dan Politik;Soal Pasal Perzinaan di KUHP, Wamenkumham Sebut Perda Tak Lagi Berlaku
16;Berita dan Politik;Wali Kota Depok Mohammad Idris Terima Penghargaan Mayor Of Good Perfomance
17;Berita dan Politik;Polemik SDN Pocin 1, Pemprov Jabar Ancam Batal Bantu Proyek Masjid Raya Depok
18;Berita dan Politik;Ditolak Keluarga, Jenazah Pelaku Bom Bunuh Diri Belum Diambil
19;Berita dan Politik;Bupati Meranti Tuduh Kemenkeu Berisi Iblis dan Ancam Gabung Malaysia
20;Berita dan Politik;"				Walikota Blitar dan Istri Disekap Perampok di Rumah Dinas			"
21;Berita dan Politik;"				Penegasan Ahmad Dhani Tak Keras Lagi ke Ahok Usai Pertama Kali Tatap Muka			"
22;Berita dan Politik;"				Gak Nyangka! Tujuan Utama Surya Paloh Ternyata Bukan Antarkan Anies Jadi Presiden RI			"
23;Berita dan Politik;"				Penyekap Walkot Blitar dan Istri Diduga 5 Orang Bersenjata Tajam			"
24;Berita dan Politik;"				Jubir Kemenkeu: Label Setan Iblis Melukai Perasaan Ribuan Pegawai			"
25;Berita dan Politik;"				Bupati Meranti Mau Gugat Jokowi Usai Sebut Kemenkeu Berisi Iblis			"
26;Berita dan Politik;"				RI Kritik Balik PBB soal KUHP Baru: Jaga Adab dalam Diplomasi			"
27;Berita dan Politik;"				Hanura: Video OSO Dukung Anies di 2024 Itu Hoax!			"
28;Berita dan Politik;"				SBY: Kaesang Ikut Salatkan Ibu Ani, Saya Tak Pernah Lupakan			"
